,0
1759,0.7335
1760,0.8565
1761,0.8787
1762,0.934
1763,0.7904
1764,0.8902
1765,0.9045
1766,0.7387
1767,0.8467
1768,0.7969
1769,0.8541
1770,0.8948
1771,0.755
1772,0.8731
1773,0.7924
1774,0.8328
1775,0.9036
1776,0.8916
1777,0.732
1778,0.8458
1779,0.9063
1780,0.789
1781,0.8939
1782,0.8025
1783,0.8836
1784,0.8791
1785,0.8478
1786,0.8701
1787,0.8496
1788,0.8537
1789,0.8579
1790,0.8693
1791,0.7827
1792,0.8795
1793,0.881
1794,0.758
1795,0.8381
1796,0.7913
1797,0.9392
1798,0.7773
1799,0.7727
1800,0.8701
1801,0.8604
1802,0.8746
1803,0.9291
1804,0.805
1805,0.7904
1806,0.8679
1807,0.9077
1808,0.7817
1809,0.8861
1810,0.9022
1811,0.9114
1812,0.8565
1813,0.8966
1814,0.9354
1815,0.8925
1816,0.934
1817,0.923
1818,0.8939
1819,0.9451
1820,0.8011
1821,0.8444
1822,0.9391
1823,0.8653
1824,0.8537
1825,0.8791
1826,0.7983
1827,0.7997
1828,0.773
1829,0.755
1830,0.7965
1831,0.7335
1832,0.8496
1833,0.8916
1834,0.9175
1835,0.8467
1836,0.8806
1837,0.869
1838,0.8589
1839,0.8675
1840,0.8638
1841,0.8836
1842,0.8381
1843,0.8772
1844,0.8992
1845,0.7956
1846,0.732
1847,0.8667
1848,0.7715
1849,0.7276
1850,0.8875
1851,0.7536
1852,0.7942
1853,0.8519
1854,0.8284
1855,0.789
1856,0.729
1857,0.8693
1858,0.8458
1859,0.7812
1860,0.916
1861,0.9036
1862,0.7387
1863,0.7987
1864,0.758
1865,0.7373
1866,0.8204
1867,0.9296
1868,0.8948
1869,0.9193
1870,0.9179
1871,0.8412
1872,0.8314
1873,0.9063
1874,0.8035
1875,0.7913
1876,0.8564
1877,0.7498
1878,0.801
1879,0.881
1880,0.8001
1881,0.8731
1882,0.8555
1883,0.8328
1884,0.8511
1885,0.827
1886,0.776
1887,0.8902
1888,0.8579
1889,0.8366
1890,0.8551
1891,0.7483
1892,0.7594
1893,0.7774
1894,0.8787
1895,0.898
1896,0.9045
1897,0.9392
1898,0.7885
1899,0.8694
1900,0.9268
1901,0.8667
1902,0.7373
1903,0.8579
1904,0.8063
